,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
0,866,2010-01-11 16:30:00,2010-01-12 17:16:00,42,0.05 - 0.14 µm,0.063,0.0026,0.0061,0.0003,0.0003,0.00125,0.0159,0.0042,0.0228,0.0001,0.0001,0.037,0.005,0.044,1.61,0.06,0.05,0.06,0.0048,0.66,0.2,0.17,0.21,0.0114,0.003,0.0005,0.0186,0.0024,0.0024,0.006,0.003
1,867,2010-01-11 16:30:00,2010-01-12 17:16:00,42,0.14 - 0.42 µm,0.636,0.0661,0.0119,0.0003,0.0056,0.0027,0.0501,0.0078,0.1934,0.0014,0.0001,0.085,0.005,0.087,3.29,0.05,0.28,0.18,0.0048,1.11,0.3,0.16,0.09,0.026,0.025,0.002,0.051,0.011,0.0024,0.057,0.003
2,868,2010-01-11 16:30:00,2010-01-12 17:16:00,42,0.42 - 1.2 µm,5.886,0.6887,0.0016,0.02,0.0922,0.0603,1.251,0.0758,0.3013,0.0064,0.0001,0.077,0.005,0.081,45.5,3.25,0.16,0.15,0.728,45.27,0.21,0.16,0.24,0.052,0.02,0.041,0.831,0.064,1.016,0.682,0.068
3,869,2010-01-11 16:30:00,2010-01-12 17:16:00,42,1.2 - 3.5 µm,28.971,6.7001,0.0021,0.2373,1.0962,0.7066,11.1037,0.62,2.2878,0.0556,0.0034,0.191,0.023,0.214,201.81,14.92,0.56,0.55,3.414,217.01,0.42,0.34,0.43,0.055,0.168,0.096,3.35,0.331,4.086,2.026,0.318
4,870,2010-01-11 16:30:00,2010-01-12 17:16:00,42,3.5 - 10 µm,31.786,6.8745,0.0109,0.3071,1.1,0.5917,11.456,0.2262,2.0525,0.0139,0.0146,0.24,0.005,0.245,216.15,15.2,0.44,2.22,2.481,193.87,1.06,0.25,0.41,0.063,0.079,0.004,4.179,0.425,1.977,1.578,0.562
6,872,2010-01-12 20:37:00,2010-01-13 10:51:00,42,0.14 - 0.42 µm,0.773,0.0933,0.0007,0.0011,0.0077,0.0261,0.1468,0.0103,0.1163,0.0026,0.0001,0.112,0.005,0.113,4.93,0.03,0.21,0.13,0.04,1.03,0.4,0.31,0.22,0.0114,0.011,0.006,0.089,0.0024,0.022,0.012,0.003
7,873,2010-01-12 20:37:00,2010-01-13 10:51:00,42,0.42 - 1.2 µm,6.711,0.9945,0.0011,0.0254,0.1203,0.063,1.8265,0.117,0.3287,0.0029,0.0001,0.142,0.017,0.159,27.47,0.22,0.02,0.19,0.33,9.12,0.29,0.26,0.18,0.0114,0.012,0.037,0.554,0.006,0.502,0.0018,0.03
8,874,2010-01-12 20:37:00,2010-01-13 10:51:00,42,1.2 - 3.5 µm,32.433,5.9159,0.0016,0.2346,1.0854,0.641,10.429,0.696,2.3263,0.021,0.0049,0.26,0.032,0.292,217.55,7.34,0.18,0.23,1.949,102.04,0.31,0.32,0.32,0.049,0.039,0.125,3.642,0.148,3.173,0.136,0.289
9,875,2010-01-12 20:37:00,2010-01-13 10:51:00,42,3.5 - 10 µm,40.016,8.0952,0.0005,0.3219,1.3148,0.6486,14.967,0.2227,2.7286,0.0074,0.0249,0.274,0.046,0.32,223.08,7.96,0.17,0.36,1.659,88.45,0.21,0.21,0.29,0.037,0.036,0.005,4.161,0.168,2.168,0.086,0.285
10,876,2010-01-13 11:31:00,2010-01-14 11:01:00,42,0.05 - 0.14 µm,0.196,0.0099,0.0026,0.0003,0.0019,0.00125,0.0233,0.0038,0.0141,0.0001,0.0001,0.054,0.005,0.059,1.63,0.02,0.09,0.06,0.0048,0.49,0.27,0.23,0.13,0.0114,0.003,0.001,0.0186,0.0024,0.0024,0.0018,0.003
11,877,2010-01-13 11:31:00,2010-01-14 11:01:00,42,0.14 - 0.42 µm,0.598,0.0786,0.0003,0.0003,0.007,0.00125,0.1004,0.006,0.1077,0.0013,0.0001,0.068,0.005,0.073,5.06,0.05,0.42,0.08,0.152,1.3,0.43,0.25,0.17,0.0114,0.01,0.01,0.099,0.0024,0.041,0.011,0.003
12,878,2010-01-13 11:31:00,2010-01-14 11:01:00,42,0.42 - 1.2 µm,6.516,1.0392,0.0003,0.0337,0.1693,0.0955,1.7588,0.1145,0.3798,0.0027,0.0001,0.102,0.017,0.119,30.79,1.9,0.08,0.13,0.625,26.88,0.29,0.24,0.16,0.0114,0.017,0.04,0.742,0.026,0.804,0.0018,0.075
13,879,2010-01-13 11:31:00,2010-01-14 11:01:00,42,1.2 - 3.5 µm,29.732,5.2259,0.0003,0.2358,1.0898,0.6975,8.7758,0.651,2.237,0.0254,0.0109,0.213,0.023,0.236,207.58,8.09,0.23,0.24,2.68,116.16,0.26,0.25,0.33,0.076,0.058,0.128,3.825,0.179,4.411,0.207,0.305
14,880,2010-01-13 11:31:00,2010-01-14 11:01:00,42,3.5 - 10 µm,42.051,9.1927,0.0003,0.3961,1.4707,0.7472,15.2528,0.2236,2.7658,0.0086,0.0329,0.232,0.016,0.248,264.86,13.45,0.27,0.48,2.096,138.3,0.21,0.16,0.33,0.063,0.034,0.004,5.268,0.28,3.344,0.204,0.328
15,881,2010-01-14 11:30:00,2010-01-15 11:09:00,42,0.05 - 0.14 µm,0.173,0.0249,0.0068,0.0003,0.0047,0.00125,0.0436,0.0031,0.0305,0.0001,0.0001,0.044,0.005,0.047,1.54,0.03,0.13,0.16,0.0048,0.41,0.22,0.15,0.09,0.0114,0.003,0.001,0.0186,0.0024,0.0024,0.0018,0.003
16,882,2010-01-14 11:30:00,2010-01-15 11:09:00,42,0.14 - 0.42 µm,0.551,0.0696,0.002,0.0003,0.0055,0.00125,0.0255,0.0049,0.2039,0.0027,0.0001,0.069,0.005,0.073,5.11,0.04,0.69,0.05,0.0048,0.75,0.43,0.2,0.18,0.0114,0.01,0.005,0.095,0.0024,0.023,0.022,0.003
17,883,2010-01-14 11:30:00,2010-01-15 11:09:00,42,0.42 - 1.2 µm,4.056,0.8531,0.0022,0.0215,0.1167,0.0385,1.474,0.093,0.3292,0.0025,0.0001,0.102,0.005,0.111,27.12,0.59,0.09,0.07,0.113,7.41,0.23,0.15,0.16,0.0114,0.009,0.028,0.548,0.007,0.145,0.029,0.054
18,884,2010-01-14 11:30:00,2010-01-15 11:09:00,42,1.2 - 3.5 µm,22.749,5.4247,0.0014,0.2196,0.9769,0.341,9.0582,0.8474,1.9677,0.0254,0.0164,0.182,0.005,0.187,182.89,4.74,0.13,0.16,0.868,54.19,0.27,0.18,0.33,0.052,0.028,0.114,3.697,0.065,1.083,0.0018,0.16
19,885,2010-01-14 11:30:00,2010-01-15 11:09:00,42,3.5 - 10 µm,40.974,8.7705,0.0003,0.4153,1.6487,0.5651,15.5029,0.4469,3.0521,0.0076,0.0404,0.22,0.005,0.229,123.54,7.45,0.16,0.21,0.743,74.46,0.11,0.09,0.21,0.061,0.038,0.003,2.741,0.146,0.785,0.0018,0.165
20,886,2010-01-15 11:32:00,2010-01-16 11:07:00,42,0.05 - 0.14 µm,0.158,0.0077,0.0024,0.0003,0.0031,0.00125,0.0134,0.004,0.0194,0.0001,0.0001,0.046,0.005,0.05,2.09,0.04,0.07,0.0168,0.0048,0.68,0.2,0.13,0.11,0.0114,0.003,0.002,0.0186,0.0024,0.027,0.016,0.015
21,887,2010-01-15 11:32:00,2010-01-16 11:07:00,42,0.14 - 0.42 µm,0.786,0.0711,0.0105,0.0003,0.0059,0.00125,0.0265,0.0034,0.2393,0.0023,0.0001,0.07,0.013,0.084,3.8,0.08,0.55,0.2,0.036,1.08,0.36,0.13,0.16,0.0114,0.013,0.007,0.082,0.0024,0.065,0.012,0.003
22,888,2010-01-15 11:32:00,2010-01-16 11:07:00,42,0.42 - 1.2 µm,4.195,0.9469,0.0031,0.0223,0.1459,0.0824,1.5241,0.0765,0.5393,0.0031,0.0001,0.074,0.009,0.083,41.93,3.38,0.17,0.35,0.386,33.06,0.24,0.16,0.21,0.044,0.02,0.058,0.894,0.039,0.384,0.0018,0.102
23,889,2010-01-15 11:32:00,2010-01-16 11:07:00,42,1.2 - 3.5 µm,16.016,3.4455,0.0134,0.1136,0.4571,0.4071,5.8486,0.3363,1.0684,0.006,0.117,0.193,0.017,0.21,116.76,7.96,0.17,0.22,1.198,91.89,0.2,0.19,0.27,0.043,0.022,0.072,1.533,0.147,1.65,0.221,0.234
24,890,2010-01-15 11:32:00,2010-01-16 11:07:00,42,3.5 - 10 µm,37.865,6.9348,0.0093,0.2672,1.0669,0.5145,12.7102,0.2082,2.1292,0.0072,0.0198,0.451,0.065,0.516,178.31,6.97,0.15,0.21,26.195,115.69,2.05,0.12,0.24,1.99,0.072,0.009,2.364,0.278,1.0,33.501,0.248
25,891,2010-01-16 11:30:00,2010-01-17 11:03:00,42,0.05 - 0.14 µm,0.255,0.0132,0.0079,0.0003,0.0031,0.00125,0.0291,0.0039,0.0225,0.0001,0.0001,0.045,0.005,0.053,2.24,0.01,0.27,0.42,0.009,0.42,0.12,0.05,0.39,0.041,0.017,0.003,0.051,0.0024,0.074,0.057,0.016
26,892,2010-01-16 11:30:00,2010-01-17 11:03:00,42,0.14 - 0.42 µm,0.582,0.0433,0.0159,0.0003,0.0044,0.00125,0.0175,0.0039,0.1832,0.002,0.0001,0.079,0.005,0.085,4.5,0.05,1.11,0.07,0.017,0.8,0.4,0.05,0.43,0.036,0.041,0.033,0.096,0.006,0.078,0.041,0.018
27,893,2010-01-16 11:30:00,2010-01-17 11:03:00,42,0.42 - 1.2 µm,2.834,0.4725,0.0003,0.0094,0.0659,0.0305,0.7584,0.0701,0.2543,0.003,0.0001,0.035,0.015,0.05,19.95,2.23,0.14,0.07,0.323,25.51,0.05,0.07,0.41,0.037,0.021,0.066,0.503,0.042,0.364,0.501,0.074
28,894,2010-01-16 11:30:00,2010-01-17 11:03:00,42,1.2 - 3.5 µm,20.282,3.9895,0.0003,0.1389,0.6762,0.372,6.7728,0.802,1.4722,0.0269,0.0105,0.176,0.02,0.196,177.16,2.8,0.17,0.61,1.425,48.54,0.08,0.12,0.47,0.074,0.093,0.244,2.421,0.079,1.002,0.133,0.243
29,895,2010-01-16 11:30:00,2010-01-17 11:03:00,42,3.5 - 10 µm,35.855,9.3404,0.0009,0.3719,1.5039,0.717,16.2751,0.416,2.3777,0.0038,0.0417,0.287,0.024,0.31,237.94,12.65,0.32,0.45,1.349,132.45,0.15,0.14,0.39,0.078,0.062,0.015,3.402,0.294,1.784,0.752,0.32
30,896,2010-01-17 11:30:00,2010-01-18 11:00:00,42,0.05 - 0.14 µm,0.924,0.0117,0.0101,0.0003,0.0032,0.00125,0.0276,0.0036,0.0399,0.0019,0.0001,0.045,0.005,0.042,3.04,0.02,0.15,0.42,0.0048,0.4,0.06,0.024,0.31,0.028,0.009,0.001,0.045,0.0024,0.03,0.0018,0.003
31,897,2010-01-17 11:30:00,2010-01-18 11:00:00,42,0.14 - 0.42 µm,0.651,0.0269,0.0168,0.0003,0.0037,0.00125,0.0221,0.0027,0.1402,0.0021,0.0001,0.065,0.013,0.077,2.83,0.02,0.87,0.21,0.0048,0.39,0.3,0.06,0.38,0.047,0.02,0.028,0.064,0.0024,0.028,0.0018,0.009
32,898,2010-01-17 11:30:00,2010-01-18 11:00:00,42,0.42 - 1.2 µm,1.754,0.28,0.0003,0.0035,0.0303,0.0117,0.4658,0.0427,0.1442,0.0017,0.0001,0.059,0.005,0.065,13.45,0.03,0.07,0.21,0.111,1.32,0.03,0.05,0.34,0.017,0.012,0.059,0.312,0.0024,0.122,0.0018,0.003
33,899,2010-01-17 11:30:00,2010-01-18 11:00:00,42,1.2 - 3.5 µm,11.794,2.3934,0.001,0.0774,0.3799,0.1641,3.9839,0.517,0.7818,0.0098,0.0001,0.132,0.005,0.139,95.37,2.73,0.11,0.08,0.869,37.41,0.04,0.08,0.38,0.013,0.032,0.205,1.691,0.072,1.1,0.0018,0.118
34,900,2010-01-17 11:30:00,2010-01-18 11:00:00,42,3.5 - 10 µm,24.227,4.8298,0.0056,0.1786,0.7592,0.3096,8.6229,0.2941,0.9181,0.0025,0.0192,0.229,0.016,0.245,166.37,2.09,0.07,0.1,0.849,25.04,0.04,0.07,0.23,0.022,0.028,0.025,2.686,0.048,0.535,0.0018,0.098
35,901,2010-01-18 11:30:00,2010-01-19 11:00:00,42,0.05 - 0.14 µm,0.292,0.0095,0.0085,0.0007,0.0027,0.004,0.0234,0.0045,0.0474,0.0037,0.0001,0.04,0.005,0.044,3.47,0.13,0.32,0.05,0.011,1.41,0.1,0.024,0.31,0.033,0.008,0.003,0.039,0.0024,0.028,0.005,0.012
36,902,2010-01-18 11:30:00,2010-01-19 11:00:00,42,0.14 - 0.42 µm,1.312,0.0463,0.001,0.0003,0.0036,0.0042,0.0539,0.0044,0.1025,0.0001,0.0001,0.186,0.061,0.247,13.97,1.31,1.67,0.14,0.409,15.85,0.62,0.05,0.4,0.056,0.02,0.019,0.338,0.019,0.175,0.019,0.064
37,903,2010-01-18 11:30:00,2010-01-19 11:00:00,42,0.42 - 1.2 µm,15.397,0.3329,0.0003,0.0117,0.0377,0.1401,0.5895,0.1289,0.2591,0.0059,0.0001,0.119,0.029,0.148,183.38,11.21,0.63,0.36,4.713,191.37,0.21,0.19,0.57,0.2,0.039,0.149,4.127,0.237,2.533,0.265,0.798
38,904,2010-01-18 11:30:00,2010-01-19 11:00:00,42,1.2 - 3.5 µm,83.463,2.98,0.011,0.1538,0.4596,1.6451,5.1163,1.1677,2.3737,0.045,0.0001,0.492,0.073,0.565,782.22,83.36,2.84,1.89,21.698,1192.86,1.05,1.0,1.92,1.515,0.0015,0.153,20.979,2.74,12.37,3.193,3.9
39,905,2010-01-18 11:30:00,2010-01-19 11:00:00,42,3.5 - 10 µm,81.163,7.3963,0.017,0.3209,0.7605,1.7291,12.6469,0.475,2.752,0.0213,0.0001,0.724,0.15,0.874,1036.28,106.28,3.08,2.39,20.929,1286.9,1.21,1.22,1.79,1.843,0.0015,0.0005,22.518,3.872,13.993,4.262,3.907
40,906,2010-01-19 11:30:00,2010-01-20 11:00:00,42,0.05 - 0.14 µm,0.473,0.0082,0.0003,0.0003,0.0019,0.0058,0.0209,0.0036,0.008,0.0001,0.0001,0.048,0.005,0.053,3.26,0.35,0.13,0.05,0.039,3.77,0.04,0.024,0.36,0.026,0.0015,0.0005,0.069,0.005,0.009,0.01,0.008
41,907,2010-01-19 11:30:00,2010-01-20 11:00:00,42,0.14 - 0.42 µm,1.673,0.0592,0.0003,0.0003,0.0078,0.0148,0.0947,0.0073,0.0784,0.0001,0.0001,0.059,0.005,0.062,17.83,0.43,0.71,0.21,0.393,9.96,0.29,0.07,0.48,0.053,0.019,0.011,0.367,0.012,0.394,0.0018,0.056
42,908,2010-01-19 11:30:00,2010-01-20 11:00:00,42,0.42 - 1.2 µm,19.133,0.6036,0.001,0.0223,0.0683,0.2002,1.0668,0.131,0.3095,0.0028,0.0001,0.136,0.016,0.152,215.64,35.11,0.93,0.72,7.892,407.35,0.38,0.31,1.2,0.457,0.023,0.097,5.01,0.688,7.241,1.184,1.369
43,909,2010-01-19 11:30:00,2010-01-20 11:00:00,42,1.2 - 3.5 µm,95.213,4.2715,0.011,0.196,0.5845,1.4463,7.2292,0.7256,2.3041,0.0346,0.0001,0.618,0.065,0.684,1147.52,81.25,2.52,2.06,28.194,1187.31,1.12,0.97,2.38,1.408,0.0015,0.144,19.836,2.432,22.992,3.625,4.197
44,910,2010-01-19 11:30:00,2010-01-20 11:00:00,42,3.5 - 10 µm,80.194,9.5863,0.0215,0.4035,0.9399,1.8192,16.4196,0.2472,3.1326,0.0241,0.0001,0.651,0.116,0.767,1449.6,128.66,3.22,3.04,26.198,1494.54,1.45,1.22,2.68,1.401,0.019,0.0005,23.518,3.66,22.537,6.47,4.975
45,911,2010-01-20 11:30:00,2010-01-21 11:00:00,42,0.05 - 0.14 µm,0.449,0.0094,0.0003,0.0003,0.0033,0.00125,0.0123,0.0022,0.0081,0.0001,0.0001,0.047,0.005,0.047,5.1,0.46,0.14,0.25,0.106,5.24,0.04,0.05,0.35,0.032,0.005,0.0005,0.101,0.007,0.065,0.007,0.039
46,912,2010-01-20 11:30:00,2010-01-21 11:00:00,42,0.14 - 0.42 µm,1.387,0.0562,0.0003,0.0003,0.0096,0.0099,0.0953,0.0047,0.0685,0.0001,0.0001,0.092,0.019,0.11,8.66,0.31,0.39,0.2,0.207,5.15,0.14,0.08,0.38,0.054,0.014,0.004,0.175,0.006,0.159,0.0018,0.011
47,913,2010-01-20 11:30:00,2010-01-21 11:00:00,42,0.42 - 1.2 µm,14.649,0.3942,0.0003,0.0149,0.0537,0.1016,0.7719,0.0699,0.1835,0.0012,0.0001,0.091,0.005,0.098,151.58,11.64,0.46,0.42,5.885,186.31,0.19,0.18,0.97,0.208,0.039,0.096,2.783,0.323,3.385,0.656,0.871
48,914,2010-01-20 11:30:00,2010-01-21 11:00:00,42,1.2 - 3.5 µm,87.427,3.0517,0.0108,0.1533,0.3134,0.7752,6.0836,0.4602,1.1244,0.0201,0.0001,0.427,0.128,0.555,828.63,68.78,2.53,1.42,28.893,1092.4,1.02,0.92,2.02,1.413,0.0015,0.119,13.808,2.534,12.331,2.922,4.627
49,915,2010-01-20 11:30:00,2010-01-21 11:00:00,42,3.5 - 10 µm,77.231,6.5389,0.0275,0.2988,0.5113,1.1042,12.7223,0.1409,1.6942,0.0061,0.0068,0.499,0.154,0.653,1197.27,183.89,3.98,3.32,33.907,1890.54,1.8,1.38,3.21,1.538,0.0015,0.0005,19.879,4.062,21.401,7.439,6.216
50,916,2010-01-21 11:30:00,2010-01-22 11:00:00,42,0.05 - 0.14 µm,0.26,0.0143,0.0003,0.0003,0.0034,0.00125,0.0218,0.0015,0.0111,0.0001,0.0001,0.053,0.005,0.059,5.03,0.53,0.13,0.25,0.092,5.04,0.06,0.09,0.38,0.027,0.009,0.0005,0.086,0.0024,0.083,0.069,0.003
51,917,2010-01-21 11:30:00,2010-01-22 11:00:00,42,0.14 - 0.42 µm,0.963,0.0718,0.0003,0.0003,0.0128,0.0072,0.0749,0.0037,0.0875,0.0001,0.0001,0.057,0.011,0.069,8.37,0.08,0.5,0.35,0.152,2.82,0.17,0.1,0.39,0.039,0.016,0.009,0.168,0.0024,0.121,0.137,0.015
52,918,2010-01-21 11:30:00,2010-01-22 11:00:00,42,0.42 - 1.2 µm,10.178,0.6378,0.0024,0.0235,0.0855,0.0804,1.185,0.0742,0.227,0.0001,0.0013,0.089,0.005,0.094,114.99,16.57,0.45,0.5,4.345,195.61,0.19,0.21,0.69,0.181,0.034,0.116,2.376,0.276,2.742,2.035,0.552
53,919,2010-01-21 11:30:00,2010-01-22 11:00:00,42,1.2 - 3.5 µm,63.691,4.3361,0.0202,0.2226,0.5603,0.7335,7.9047,0.6334,1.4524,0.0143,0.0052,0.276,0.051,0.327,483.78,97.11,2.21,1.65,23.248,1139.26,0.96,0.88,2.64,1.214,0.0015,0.155,10.941,2.549,12.737,9.577,4.275
54,920,2010-01-21 11:30:00,2010-01-22 11:00:00,42,3.5 - 10 µm,60.47,6.9651,0.0371,0.3192,0.6813,0.7585,13.3238,0.1458,1.5449,0.0046,0.0081,0.505,0.091,0.596,722.62,143.58,2.37,2.36,20.699,1288.02,1.21,0.95,2.58,1.244,0.0015,0.0005,13.044,2.724,16.277,10.204,4.588
55,921,2010-01-22 11:30:00,2010-01-23 11:01:00,42,0.05 - 0.14 µm,3.333,0.0122,0.0036,0.0003,0.0021,0.00125,0.0262,0.0013,0.017,0.0001,0.0001,0.044,0.005,0.044,4.1,0.28,0.26,0.27,0.044,2.85,0.07,0.07,0.31,0.032,0.005,0.0005,0.072,0.006,0.0024,0.026,0.003
56,922,2010-01-22 11:30:00,2010-01-23 11:01:00,42,0.14 - 0.42 µm,1.032,0.0589,0.0066,0.0003,0.0089,0.00125,0.0377,0.002,0.1627,0.0001,0.0001,0.075,0.014,0.089,9.26,0.54,1.33,0.14,0.2,6.31,0.45,0.1,0.43,0.049,0.039,0.015,0.196,0.007,0.097,0.06,0.021
57,923,2010-01-22 11:30:00,2010-01-23 11:01:00,42,0.42 - 1.2 µm,6.921,0.4919,0.0049,0.0163,0.0709,0.0515,0.9284,0.0783,0.2469,0.0001,0.0008,0.081,0.015,0.095,51.05,3.35,0.17,0.16,1.448,44.33,0.07,0.11,0.42,0.036,0.027,0.113,1.088,0.055,0.678,0.711,0.165
58,924,2010-01-22 11:30:00,2010-01-23 11:01:00,42,1.2 - 3.5 µm,36.752,3.4578,0.0206,0.1594,0.4573,0.4387,6.6155,0.6511,1.1742,0.0075,0.0048,0.224,0.084,0.308,392.17,23.36,0.67,0.52,9.502,293.95,0.34,0.35,1.02,0.185,0.07,0.239,6.545,0.538,5.85,3.971,1.111
59,925,2010-01-22 11:30:00,2010-01-23 11:01:00,42,3.5 - 10 µm,38.979,4.7772,0.0335,0.2201,0.6027,0.4348,8.8739,0.1751,1.1954,0.0015,0.0076,0.347,0.046,0.393,537.28,59.68,1.16,0.96,8.592,540.84,0.54,0.47,1.26,0.323,0.077,0.008,9.607,1.098,5.65,3.659,1.836
60,926,2010-01-23 11:30:00,2010-01-24 11:00:00,42,0.05 - 0.14 µm,0.357,0.0445,0.0119,0.0003,0.0074,0.00125,0.0339,0.0022,0.0368,0.0001,0.0001,0.039,0.005,0.04,2.31,0.02,0.2,0.29,0.006,0.34,0.09,0.11,0.37,0.038,0.011,0.003,0.059,0.0024,0.032,0.038,0.011
61,927,2010-01-23 11:30:00,2010-01-24 11:00:00,42,0.14 - 0.42 µm,1.041,0.099,0.0168,0.0044,0.0142,0.00125,0.0392,0.0026,0.2833,0.0006,0.0001,0.066,0.018,0.084,5.7,0.11,0.95,0.11,0.026,1.51,0.38,0.12,0.48,0.226,0.027,0.021,0.143,0.0024,0.026,0.054,0.003
62,928,2010-01-23 11:30:00,2010-01-24 11:00:00,42,0.42 - 1.2 µm,5.751,0.6629,0.0003,0.0249,0.1006,0.0361,1.1855,0.0468,0.3653,0.0001,0.0018,0.145,0.016,0.161,49.32,0.73,0.26,0.19,0.388,12.95,0.07,0.09,0.54,0.124,0.037,0.093,1.146,0.012,0.382,0.387,0.092
63,929,2010-01-23 11:30:00,2010-01-24 11:00:00,42,1.2 - 3.5 µm,26.677,5.1648,0.0149,0.2282,0.7285,0.288,9.6763,0.6985,1.5407,0.0058,0.0142,0.169,0.005,0.173,88.28,0.38,0.09,0.06,0.931,20.57,0.03,0.15,0.47,0.062,0.042,0.222,2.186,0.037,0.604,0.45,0.074
64,930,2010-01-23 11:30:00,2010-01-24 11:00:00,42,3.5 - 10 µm,36.341,7.8223,0.0044,0.3494,1.1052,0.381,14.7878,0.3236,2.2045,0.002,0.0336,0.29,0.011,0.301,167.51,2.5,0.08,0.26,0.358,28.35,0.04,0.09,0.25,0.026,0.022,0.011,2.877,0.039,0.253,0.266,0.076
65,931,2010-01-24 11:30:00,2010-01-25 11:00:00,42,0.05 - 0.14 µm,0.084,0.0242,0.0016,0.0003,0.0047,0.00125,0.0157,0.0006,0.0172,0.0001,0.0001,0.041,0.005,0.041,2.43,0.03,0.11,0.03,0.0048,0.35,0.03,0.07,0.31,0.0114,0.01,0.0005,0.051,0.0024,0.0024,0.0018,0.018
66,932,2010-01-24 11:30:00,2010-01-25 11:00:00,42,0.14 - 0.42 µm,0.937,0.1088,0.0025,0.0029,0.0132,0.00125,0.0677,0.0026,0.2247,0.0001,0.0001,0.066,0.005,0.073,7.74,0.04,0.72,0.13,0.015,0.74,0.26,0.11,0.47,0.158,0.016,0.015,0.186,0.005,0.064,0.025,0.012
67,933,2010-01-24 11:30:00,2010-01-25 11:00:00,42,0.42 - 1.2 µm,5.838,1.0568,0.0003,0.0321,0.128,0.058,1.7572,0.0561,0.3764,0.0001,0.0024,0.173,0.01,0.183,47.6,3.67,0.22,0.28,0.402,37.56,0.09,0.12,0.5,0.188,0.037,0.086,1.102,0.061,0.372,0.45,0.11
68,934,2010-01-24 11:30:00,2010-01-25 11:00:00,42,1.2 - 3.5 µm,31.211,5.3759,0.0017,0.2368,0.7441,0.3726,10.2148,0.5561,1.5526,0.006,0.0181,0.29,0.011,0.301,263.77,0.22,0.12,0.25,0.951,26.62,0.05,0.16,0.54,0.039,0.049,0.197,3.902,0.036,0.722,0.79,0.143
69,935,2010-01-24 11:30:00,2010-01-25 11:00:00,42,3.5 - 10 µm,39.999,7.5588,0.0069,0.3399,1.053,0.4278,14.3266,0.2323,1.972,0.0019,0.0298,0.289,0.013,0.301,316.79,10.08,0.26,0.3,1.348,117.34,0.13,0.15,0.49,0.089,0.049,0.007,6.047,0.24,0.791,0.697,0.3
70,936,2010-01-25 11:30:00,2010-01-26 20:29:00,42,0.05 - 0.14 µm,0.267,0.0366,0.0003,0.0003,0.0081,0.0105,0.0883,0.0085,0.0094,0.0001,0.0001,0.114,0.005,0.114,10.94,0.43,0.05,0.77,0.0048,2.97,0.02,0.19,1.22,0.062,0.014,0.0005,0.179,0.0024,0.0024,0.184,0.057
71,937,2010-01-25 11:30:00,2010-01-26 20:29:00,42,0.14 - 0.42 µm,1.155,0.0912,0.0003,0.0003,0.0125,0.0166,0.142,0.0097,0.1212,0.0001,0.0001,0.11,0.005,0.11,11.05,0.09,0.24,0.11,0.056,1.37,0.11,0.32,1.02,0.108,0.013,0.008,0.148,0.005,0.116,0.115,0.02
72,938,2010-01-25 11:30:00,2010-01-26 20:29:00,42,0.42 - 1.2 µm,9.04,0.9925,0.0003,0.0121,0.1203,0.2433,1.9293,0.117,0.3684,0.0089,0.0001,0.204,0.005,0.208,290.68,4.37,0.2,0.59,1.939,72.82,0.12,0.31,1.11,0.125,0.06,0.087,2.316,0.087,2.089,1.837,0.36
73,939,2010-01-25 11:30:00,2010-01-26 20:29:00,42,1.2 - 3.5 µm,48.37,4.7047,0.0003,0.2009,0.6154,1.4259,9.1065,0.3883,1.6199,0.0854,0.0001,0.604,0.038,0.642,1132.36,67.37,1.8,1.69,12.273,806.49,0.88,0.81,2.59,0.64,0.058,0.155,12.229,1.456,10.307,5.362,1.996
74,940,2010-01-25 11:30:00,2010-01-26 20:29:00,42,3.5 - 10 µm,49.683,6.1408,0.0303,0.2823,0.7863,1.1294,12.5557,0.0826,1.2976,0.0062,0.0001,0.627,0.066,0.692,585.39,22.12,0.55,1.11,4.68,260.17,0.2,0.16,0.92,0.07,0.108,0.0005,7.444,0.444,3.445,0.303,0.868
75,941,2010-01-26 12:08:00,2010-01-27 11:19:00,42,0.05 - 0.14 µm,0.175,0.0133,0.0003,0.0003,0.0024,0.0061,0.0338,0.0044,0.008,0.0001,0.0001,0.069,0.005,0.077,2.55,0.05,0.04,0.19,0.0048,0.88,0.0072,0.024,0.51,0.0114,0.003,0.0005,0.051,0.0024,0.0024,0.0018,0.053
