No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1286,2012-01-16T19:37:00,2012-01-16T12:44,42,0.05 - 0.14 µm,0.073,0.0224,0.015,0.0018,0.0048,0.1872,0.061,0.0198,0.0747,0.0022,0.001,0.241,0,0.241,4.53,0.075,0.051,0.337,<0.0096,1.32,0.089,<0.048,0.456,0.278,<0.003,0.005,0.202,<0.0048,<0.0048,<0.0036,<0.006
1287,2012-01-16T19:37:00,2012-01-16T12:44,42,0.14 - 0.42 µm,1.46,0.0248,0.1139,0.0409,0.0044,0.241,0.0548,0.0204,0.4855,0.0123,<0.0002,0.441,0.162,0.604,9.56,0.323,1.685,0.524,0.052,7.49,0.925,0.076,0.88,0.202,0.416,0.042,0.166,0.147,0.026,0.057,0.016
1288,2012-01-16T19:37:00,2012-01-16T12:44,42,0.42 - 1.2 µm,5.664,0.3403,0.0149,0.0383,0.0468,0.3848,0.4986,0.2602,0.486,0.0145,0.0005,0.172,0.267,0.439,122.13,13.871,0.832,1.31,2.666,157.74,0.2,0.128,1.067,0.307,0.4,0.177,2.403,0.255,3.322,0.48,0.43
1289,2012-01-16T19:37:00,2012-01-16T12:44,42,1.2 - 3.5 µm,30.092,1.2242,0.0236,0.1339,0.3196,0.4694,2.2507,0.7593,0.5919,0.0437,0.0014,0.929,0.005,0.934,868.27,12.482,0.542,1.021,9.167,261.83,0.657,0.571,0.952,0.797,3.461,0.398,9.547,0.26,0.194,<0.0036,<0.006
1290,2012-01-16T19:37:00,2012-01-16T12:44,42,3.5 - 10 µm,20.274,1.9763,0.01,0.0798,0.2345,0.7167,3.6533,0.8479,0.6966,0.0194,0.0045,0.727,0.172,0.9,589.49,20.998,0.846,0.902,5.812,225.2,0.385,0.365,0.85,0.463,1.49,0.038,6.318,0.352,2.964,<0.0036,0.732
1291,2012-01-17T12:18:00,2012-01-16T20:00,42,0.05 - 0.14 µm,0.495,0.0185,0.0141,0.0088,0.0013,0.039,0.034,0.0113,0.0554,0.0003,<0.0002,0.035,0.01,0.045,2.93,0.08,0.465,0.262,<0.0096,1.28,0.115,<0.048,0.166,0.06,<0.003,<0.001,0.123,0.021,0.104,0.026,0.034
1292,2012-01-17T12:18:00,2012-01-16T20:00,42,0.14 - 0.42 µm,1.271,0.0084,0.0984,0.0235,0.0027,0.1036,0.0082,0.0044,0.4755,0.004,0.0009,0.215,0.206,0.421,6.05,1.552,2.231,0.114,0.094,13.7,0.668,0.085,0.478,0.202,0.104,0.033,0.145,0.082,0.287,0.014,<0.006
1293,2012-01-17T12:18:00,2012-01-16T20:00,42,0.42 - 1.2 µm,6.036,0.2881,0.0203,0.0259,0.0361,0.1548,0.4358,0.1584,0.354,0.0082,0.0012,0.266,0.063,0.329,81.92,17.18,0.769,0.887,2.829,179.07,0.195,0.082,0.798,0.35,0.126,0.174,2.031,0.277,3.377,<0.0036,0.64
1294,2012-01-17T12:18:00,2012-01-16T20:00,42,1.2 - 3.5 µm,31.449,1.5715,0.0317,0.1148,0.2343,0.3266,2.8139,0.7715,0.6167,0.0232,0.0016,0.24,0.101,0.341,474.36,7.727,0.683,0.531,10.238,229.71,0.318,0.412,0.662,0.294,0.043,0.356,7.872,0.333,7.79,0.035,1.37
1295,2012-01-17T12:18:00,2012-01-16T20:00,42,3.5 - 10 µm,22.38,1.9866,0.0227,0.1063,0.2242,0.3496,3.7521,0.5074,0.6018,0.0096,0.0074,0.323,0.061,0.384,330.83,48.328,0.877,0.997,7.12,466.79,0.463,0.403,0.932,0.362,<0.003,0.036,5.499,0.901,7.745,1.477,1.379
